vazao,data_day
0.6818181818,10/10/17
0.8571428600,10/10/17
0.8571428571,10/10/17
1.0000000000,10/10/17
0.7500000000,10/10/17
1.0000000000,10/10/17
0.7500000000,10/10/17
1.2857142857,10/10/17
0.7500000000,10/10/17
1.0000000000,10/10/17
1.5454545455,10/10/17
1.3750000000,10/10/17
2.1333333333,10/10/17
2.8571428571,10/10/17
2.6250000000,10/10/17
3.4285714286,10/10/17
3.3750000000,10/10/17
5.0000000000,10/10/17
5.7500000000,10/10/17
7.4285714286,10/10/17
7.8750000000,10/10/17
12.2857142857,10/10/17
11.5000000000,10/10/17
15.2857142857,10/10/17
17.2608695652,10/10/17
18.0000000000,10/10/17
16.2500000000,10/10/17
19.4285714286,10/10/17
14.3750000000,10/10/17
17.5714285714,10/10/17
14.0000000000,10/10/17
12.0000000000,10/10/17
2.0000000000,10/10/17
0.0000000000,10/10/17
0.0000000000,10/10/17
0.0000000000,10/10/17
0.0000000000,10/10/17
0.0000000000,10/10/17
0.0000000000,10/10/17
0.0000000000,10/10/17
0.0000000000,10/10/17
0.0000000000,10/10/17
0.0000000000,10/10/17
0.0000000000,10/10/17
0.0000000000,10/10/17
0.0000000000,10/10/17
0.0000000000,10/10/17
0.0000000000,10/10/17
0.0000000000,10/10/17
0.0000000000,10/10/17
0.0000000000,10/10/17
0.1428571429,10/10/17
0.5000000000,10/10/17
0.1250000000,10/10/17
0.2857142857,10/10/17
0.2857142857,10/10/17
0.3125000000,10/10/17
0.7857142857,10/10/17
0.8750000000,10/10/17
0.5714285714,10/10/17
0.7500000000,10/10/17
1.0000000000,10/10/17
1.0000000000,10/10/17
1.1428571429,10/10/17
1.2500000000,10/10/17
1.5714285714,10/10/17
1.7500000000,10/10/17
1.5714285714,10/10/17
2.7142857143,10/10/17
3.2608695652,10/10/17
4.4285714286,10/10/17
4.7500000000,10/10/17
6.4285714286,10/10/17
6.8125000000,10/10/17
10.8571428571,10/10/17
16.0000000000,10/10/17
16.3750000000,10/10/17
20.0000000000,10/10/17
18.7500000000,10/10/17
23.5714285714,10/10/17
19.1250000000,10/10/17
18.8571428571,10/10/17
9.5000000000,10/10/17
0.7142857143,10/10/17
0.3333333333,10/10/17
0.4285714286,10/10/17
0.6250000000,10/10/17
0.2857142857,10/10/17
0.3750000000,10/10/17
0.4285714286,10/10/17
0.3750000000,10/10/17
0.4285714286,10/10/17
0.3750000000,10/10/17
0.6666666667,10/10/17
0.5333333333,10/10/17
0.4285714286,10/10/17
0.3750000000,10/10/17
0.4285714286,10/10/17
0.5000000000,10/10/17
0.5714285714,10/10/17
0.7500000000,10/10/17
0.4285714286,10/10/17
0.5333333333,10/10/17
0.5714285714,10/10/17
0.5000000000,10/10/17
0.8636363636,09/10/17
0.8000000000,09/10/17
1.0666666667,09/10/17
1.1428571429,09/10/17
0.8695652174,09/10/17
1.0000000000,09/10/17
0.7500000000,09/10/17
1.0000000000,09/10/17
0.8750000000,09/10/17
1.1333333333,09/10/17
1.2857142857,09/10/17
1.4285714286,09/10/17
1.3750000000,09/10/17
1.8571428571,09/10/17
1.3750000000,09/10/17
1.8000000000,09/10/17
2.2857142857,09/10/17
1.7500000000,09/10/17
2.2857142857,09/10/17
2.6250000000,09/10/17
3.9333333333,09/10/17
4.1428571429,09/10/17
6.4285714286,09/10/17
6.1250000000,09/10/17
6.2500000000,09/10/17
9.5714285714,09/10/17
12.8666666667,09/10/17
15.5000000000,09/10/17
38.6552028219,09/10/17
19.3333333333,09/10/17
19.0000000000,09/10/17
21.8571428571,09/10/17
18.6250000000,09/10/17
19.1428571429,09/10/17
12.2500000000,09/10/17
3.5714285714,09/10/17
0.8750000000,09/10/17
1.2857142857,09/10/17
0.7500000000,09/10/17
1.0000000000,09/10/17
0.8750000000,09/10/17
1.0000000000,09/10/17
0.8750000000,09/10/17
0.8571428571,09/10/17
1.0000000000,09/10/17
1.3750000000,09/10/17
1.2500000000,09/10/17
1.8571428571,09/10/17
2.2000000000,09/10/17
2.0000000000,09/10/17
2.8750000000,09/10/17
4.0000000000,09/10/17
3.8750000000,09/10/17
5.8571428571,09/10/17
5.6666666667,09/10/17
8.0000000000,09/10/17
7.3750000000,09/10/17
9.0000000000,09/10/17
11.5714285714,09/10/17
15.0000000000,09/10/17
15.0000000000,09/10/17
13.8750000000,09/10/17
14.2500000000,09/10/17
19.7142857143,09/10/17
18.5000000000,09/10/17
17.3750000000,09/10/17
18.7142857143,09/10/17
13.7500000000,09/10/17
7.2857142857,09/10/17
0.5333333333,09/10/17
0.5000000000,09/10/17
0.7142857143,09/10/17
0.7142857143,09/10/17
0.6250000000,09/10/17
0.7142857143,09/10/17
0.6250000000,09/10/17
0.7142857143,09/10/17
0.6250000000,09/10/17
0.5714285714,09/10/17
0.8684210526,09/10/17
1.1428571429,09/10/17
1.5714285714,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
1.7142857143,09/10/17
1.6250000000,09/10/17
1.5714285714,09/10/17
2.2000000000,09/10/17
4.0000000000,09/10/17
4.5000000000,09/10/17
4.5000000000,09/10/17
6.0000000000,09/10/17
8.2666666667,09/10/17
12.0000000000,09/10/17
12.7500000000,09/10/17
16.5714285714,09/10/17
16.0000000000,09/10/17
19.8571428571,09/10/17
17.3750000000,09/10/17
22.1428571429,09/10/17
18.6250000000,09/10/17
16.5714285714,09/10/17
6.7500000000,09/10/17
0.1428571429,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
